Biomarker/Risk factor 	Source of Code list	Reviewed by CPRD team (date)	Signed off by CPRD team	Data extraction made (date)	Data transfer (date)	Notes	Biomarker (values on continous scale)	Mostly commonly used measurement units	Lower biological plausible limit	Upper biological plausible limit	Source of plausible limits (literature (SS), clinician, Scoping review (CH), internet)	Evidence for plausible limits
DXA (T-score) (forearm)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						removed	removed		
DXA (T-score) (unspecified)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						removed	removed		
estimated Glomerular Filtration Rate (eGFR) Modification of Diet in Renal Disease (MDRD)/MDRD 6/Simplified MDRD/MDRD 4	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					ml/min/1.73 m2	0	180	Literature (SS)	
estimated Glomerular Filtration Rate (eGFR) Chronic Kidney Disease Epidemiology Collaboration (CKD-EPI)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					ml/min/1.73 m2	0	180	Literature (SS)	
Eosinophil count	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	8		From previous tasks sheet
Eosinophils %	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					%	0	30		https://www.immunology.org/public-information/bitesized-immunology/cells/eosinophils; https://www.contemporarypediatrics.com/view/eosinophilia-what-does-it-mean
Erythrocyte Sedimentation Rate (ESR)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mm/hr	0	200	Literature (SS)	
Fasting Blood Sugar (FBS) (glucose) plasma, serum	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mg/dl	0	500	Literature (SS)	
Ferritin serum,plasma	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					ng/mL	0	100,000	Literature (SS)	https://academic.oup.com/ajcp/article/145/5/646/2195684
Fibrinogen (fibrinogen level)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					g/L	0	15	Literature (SS)	
Folate level (known as B9)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					ug/L	0	40	Literature (SS)	
Follicle-stimulating hormone (FSH)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mIU/mL	0	200		https://www.cdc.gov/nchs/data/nhanes/nhanes_01_02/l40_b_met_follicle_stimulating_hormone.pdf
FRAX calculator (unspecified)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y			List all FRAX for each part of body		N/A	-10	10	Literature (SS)	
						add extra rows if needed						
FRAX calculator (hip)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	100		
Haemoglobin (Hb)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					g/dL	30	210	Literature (SS)	
Haematocrit (Hc)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0.1	0.6		From previous tasks sheet
HbA1c	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	200	Literature (SS)	
Heart rate (=pulse rate)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	301		From SS email 3.4.24 
TotalSerumCholesterol	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mmol/L	0	15		
TotalChol_HDL_ratio	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	10		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9206383/
LDL_Cholesterol	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mg/dl	0	50		https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/lipid-panel
Non_HDL	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mg/dl	0	500		https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/lipid-panel
Lactate Dehydrogenase (LDH) (serum/plasma lactate dehydrogenase level)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mmol/L	0	15	Literature (SS)	
High-density lipoprotein (HDL)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					mmol/L	0	15	Literature (SS)	
Lymphocyte count	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	850		From previous tasks sheet
Lymphocytes %	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	100		Normal range-20-40%
Mean cell haemoglobin (MCH) Should be Mean Corpuscular Haemoglobin	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						15	45		From previous tasks sheet
Mean cell haemoglobin concentration (MCHC)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						270	370		From previous tasks sheet
Mean cell volume (MCV)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						ou	125		From previous tasks sheet
Mean platelet volume (MPV)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						5	20		From previous tasks sheet
