MedCodeId	Term	Count
134381000000119	Serum FSH (follicle stimulating hormone) level	2528435
457344018	Plasma FSH (follicle stimulating hormone) level	156108
763361000006116	FSH (follicle stimulating hormone) level	9173
484759012	FSH level	3492
1227415012	Follicle stimulating hormone level	1292
409695011	Serum follicle stimulating hormone level	229
