MedCodeId	Term	Count
714921000006114	MCHC - Mean corpuscular haemoglobin concentration	54203547
3100151000006113	MCHC - Mean cell hemoglobin concentration	164
3100141000006111	MCHC - Mean cell haemoglobin concentration	63
