MedCodeId	Term	Count
457992014	Serum lactate dehydrogenase level	617847
457995011	Plasma lactate dehydrogenase level	15416
749151000006110	Lactate dehydrogenase level	3166
373711011	LDH blood level	3121
749161000006112	LDH blood level	1876
409698013	Serum total lactate dehydrogenase level	1431
145401000006114	Serum total lactate dehydrogenase level	95
