MedCodeId	Term	Count
458249011	Serum cholesterol/high density lipoprotein ratio	24621579
259250015	Total cholesterol:HDL (high density lipoprotein) ratio	10798929
458252015	Plasma cholesterol/HDL (high density lipoprotein) ratio	430995
457911015	Cholesterol/HDL ratio	222318
6036221000006115	Cholesterol/HDL ratio measurement	593
4600431000006110	Total cholesterol:HDL ratio	74
