MedCodeId	Term	Count
2344491000000115	Serum non high density lipoprotein cholesterol level	11222269
516351000000116	Non high density lipoprotein cholesterol level	2544935
1924001000006115	Estimated serum non-high density lipoprotein cholesterol level	21701
8386311000006116	Serum non HDL (high density lipoprotein) cholesterol level	1504
8411411000006113	Non HDL cholesterol level	677
6014411000006114	Non-HDL cholesterol	65
