MedCodeId,Observations,Term,SNOMED_CT_Concept_ID
457992014,617847,Serum lactate dehydrogenase level,1000921000000108
457995011,15416,Plasma lactate dehydrogenase level,1000901000000104
749151000006110,3166,Lactate dehydrogenase level,1028111000000107
373711011,3121,LDH blood level,250644007
749161000006112,1876,LDH blood level,1028111000000107
409698013,1431,Serum total lactate dehydrogenase level,273974004
145401000006114,95,Serum total lactate dehydrogenase level,1028111000000107
