MedCodeId,Observations,Term,SNOMED_CT_Concept_ID
2344491000000115,11222269,Serum non high density lipoprotein cholesterol level,1006191000000106
516351000000116,2544935,Non high density lipoprotein cholesterol level,1030411000000101
1924001000006115,21701,Estimated serum non-high density lipoprotein cholesterol level,920471000000100
8386311000006116,1504,Serum non HDL (high density lipoprotein) cholesterol level,1006191000000106
8411411000006113,677,Non HDL cholesterol level,1030411000000101
6014411000006114,65,Non-HDL cholesterol,312260007
