MedCodeId	Term	Count
935211000006113	CA125 level	608998
2336891000000110	Serum CA 125 (cancer antigen 125) level	605314
8408401000006116	CA 125 level	1095
1757041000006117	Test request : CA125 level	211
8408391000006118	CA 125 (cancer antigen 125) level	74
